"Search Criteria","Zip: 97070 · Type: Commercial"
"Generated","July 22, 2026"
"Total Leads","62"

"Address","Property Type","Business Name","Contact Name","Phone","Email","Website","Roof Score","Year Built"
"4800 S Macadam Ave #120, Portland, OR 97239, USA","Commercial","Deering Management Group Inc","","(503) 225-1545","","http://www.deeringmanagementgroup.com/","High","1918"
"900 SW 5th Ave 17th floor, Portland, OR 97204, USA","Commercial","Norris & Stevens","","(503) 223-3171","","http://norris-stevens.com/","High","1931"
"404 NW 10th Ave #102, Portland, OR 97210, USA","Commercial","SYLO Property Management","","(971) 347-3166","","http://sylopm.com/","High","1953"
"1750 S Harbor Way Ste 240, Portland, OR 97201, USA","Commercial","TMG Property Management Services NW","","(503) 718-5600","","https://tmgportland.com/?utm_campaign=gmb&utm_medium=organic&utm_source=local","High","1957"
"7800 SW Barbur Blvd a1, Portland, OR 97219, USA","Commercial","Century 21 Northstar Property Management","","(503) 297-1014","","https://rentalsc21.com/","High","1957"
"4800 Meadows Road, Kruse Woods Dr #300, Lake Oswego, OR 97035, USA","Commercial","Regus - Lake Oswego - Kruse Way","","(503) 534-3500","","https://www.regus.com/en/us/1007?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall","High","1965"
"5319 SW Westgate Dr #219, Portland, OR 97221, USA","Commercial","Alder Property Management","","(503) 419-9798","","http://www.alderpropertymanagement.com/","High","1970"
"6600 SW 105th Ave #175, Beaverton, OR 97008, USA","Commercial","Pacific NW Properties","","(503) 626-3500","","http://www.pnwprop.com/","High","1972"
"200 SW Market St Ste 200, Portland, OR 97201, USA","Commercial","Cushman & Wakefield Property Management","","(503) 279-1700","","","High","1973"
"8300 Memorial Dr, Wilsonville, OR 97070, USA","Commercial","Murase Plaza Park","","(503) 682-3727","","https://www.wilsonvilleparksandrec.com/parksrec/page/murase-plaza","High","1978"
"8205 Boeckman Rd, Wilsonville, OR 97070, USA","Commercial","Cascade building, mentor graphics","","","","","High","1978"
"6420 S Macadam Ave #380, Portland, OR 97239, USA","Commercial","Portland Homes & Commercial Properties","","(503) 777-0788","","https://portlandhomesllc.com/","High","1980"
"8315 SW Jack Burns Blvd, Wilsonville, OR 97070, USA","Commercial","Argyle Square Shopping Center","","(503) 607-0990","","","High","1987"
"7320 SW Hunziker Rd #203, Tigard, OR 97223, USA","Commercial","Commercial Property Management NW","","(503) 309-5106","","https://commercialrenw.com/services/property-management","High","1988"
"7320 SW Hunziker Rd #203, Tigard, OR 97223, USA","Commercial","Commercial Real Estate NW","","(503) 309-5106","","https://commercialrenw.com/","High","1988"
"5200 Meadows Rd #150, Lake Oswego, OR 97035, USA","Commercial","5200 Meadows Executive Office Suites","","(503) 726-5999","","http://5200meadows.com/","High","1989"
"9760 SW Wilsonville Rd, Wilsonville, OR 97070, USA","Commercial","Oregon Lottery - Wilsonville Prize Payment Center","","(800) 766-6789","","https://www.oregonlottery.org/claim-a-prize/","High","1990"
"358 NW 1st Ave Ste 2, Canby, OR 97013, USA","Commercial","The Bell Building","","(503) 266-5050","","https://thebellbldg.com/","High","1998"
"8269 SW Wilsonville Rd, Wilsonville, OR 97070, USA","Commercial","Wilsonville Town Center","","(503) 682-1011","","https://www.ci.wilsonville.or.us/planning/page/town-center-plan-and-appendices","Low",""
"30020 SW Boones Ferry Rd, Wilsonville, OR 97070, USA","Commercial","Wilsonville Old Town Square","","","","","Low",""
"7455 SW Bridgeport Rd, Tigard, OR 97224, USA","Commercial","Bridgeport Village","","(503) 968-1704","","https://www.bridgeport-village.com/","Low",""
"7663 SW Nyberg St, Tualatin, OR 97062, USA","Commercial","Nyberg Rivers","","(503) 968-1704","","https://www.shopnybergrivers.com/","Low",""
"7061 SW Nyberg St, Tualatin, OR 97062, USA","Commercial","Nyberg Woods","","(503) 968-8940","","https://www.shopnybergwoods.com/","Low",""
"1001 N Arney Rd, Woodburn, OR 97071, USA","Commercial","Woodburn Premium Outlets","","(503) 980-6442","","https://www.premiumoutlets.com/outlet/woodburn","Low",""
"30625 thru, 30789 SW Boones Ferry Rd, Wilsonville, OR 97070, USA","Commercial","Old Town Village","","(503) 682-1267","","","Low",""
"21300 SW Langer Farms Pkwy, Sherwood, OR 97140, USA","Commercial","Parkway Village at Sherwood","","(503) 610-1091","","","Low",""
"29600 Park Pl., Wilsonville, OR 97070, USA","Commercial","Town Center Park","","(503) 783-7529","","https://www.wilsonvilleparksandrec.com/parksrec/page/town-center-park","Low",""
"20649-20685, SW Roy Rogers Rd, Sherwood, OR 97140, USA","Commercial","Sherwood Crossroads","","(503) 603-4700","","https://www.regencycenters.com/property/detail/689/Sherwood-Crossroads","Low",""
"30050 Town Center Loop W #100, Wilsonville, OR 97070, USA","Commercial","Village At Main Street Apartments","","(503) 682-2345","","http://www.villageatmain.com/?utm_source=apartmentseo&utm_medium=gmb&utm_campaign=organicmaplisting","Low",""
"29020 Town Center Loop E #100, Wilsonville, OR 97070, USA","Commercial","In-N-Out Market","","(503) 570-0105","","","Low",""
"Wilsonville, OR 97070, USA","Commercial","Lowries Marketplace","","","","","Low",""
"1900 McLoughlin Blvd, Oregon City, OR 97045, USA","Commercial","Oregon City Shopping Center","","(714) 283-5800","","","Low",""
"SW Barrows Rd &, SW Horizon Blvd, Beaverton, OR 97007, USA","Commercial","Progress Ridge TownSquare","","(714) 545-1400","","","Low",""
"3205 SW Cedar Hills Blvd, Beaverton, OR 97005, USA","Commercial","Cedar Hills Crossing","","(503) 643-6563","","http://www.cedarhillscrossing.com/","Low",""
"11665 SW Beaverton Hillsdale Hwy, Beaverton, OR 97005, USA","Commercial","Beaverton Town Square","","","","","Low",""
"9125 SW Cascade Ave, Beaverton, OR 97008, USA","Commercial","Cascade Plaza","","","","","Low",""
"3805 SW 117th Ave, Beaverton, OR 97005, USA","Commercial","Canyon Place Shopping Center","","(503) 595-7564","","","Low",""
"2606-2850 SW Cedar Hills Blvd, Beaverton, OR 97005, USA","Commercial","Walker Center","","(503) 603-4700","","https://connect.regencycenters.com/walker-center","Low",""
"25195 SW Parkway Ave, Wilsonville, OR 97070, USA","Commercial","Black Butte Corporate Center","","(503) 525-1925","","http://northrimpdx.com/","Low",""
"8855 SW Holly St, Wilsonville, OR 97070, USA","Commercial","Crown Building","","(503) 722-1142","","","Low",""
"29790 Town Center Loop E, Wilsonville, OR 97070, USA","Commercial","Wilsonville Parks Operations Building","","","","","Low",""
"19365 SW 65th Ave, Tualatin, OR 97062, USA","Commercial","Meridian Professional Building","","(503) 452-5545","","http://www.tualatin-medical-professional-space.com/","Low",""
"SW Hillman Ct #9025, Wilsonville, OR 97070, USA","Commercial","WILSONVILLE BUSINESS CENTER","","","","","Low",""
"8755 SW Citizens Dr, Wilsonville, OR 97070, USA","Commercial","Mt.Jefferson Building","","","","","Low",""
"8215 SW Tualatin-Sherwood Rd #200, Tualatin, OR 97062, USA","Commercial","Regus - Tualatin","","(503) 404-2500","","https://www.regus.com/en/us/2370?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall","Low",""
"29799 Town Center Loop E, Wilsonville, OR 97070, USA","Commercial","City of Wilsonville","","(503) 682-1011","","https://www.wilsonvilleoregon.gov/","Low",""
"30170 SW Ore Pac Ave, Wilsonville, OR 97070, USA","Commercial","OrePac Building Products","","(877) 467-3722","","http://www.orepac.com/","Low",""
"29600 Park Pl., Wilsonville, OR 97070, USA","Commercial","Wilsonville Parks & Recreation Administration Offices","","(503) 783-7529","","http://www.wilsonvilleparksandrec.com/","Low",""
"9375 SW Commerce Cir, Wilsonville, OR 97070, USA","Commercial","Riverwood Business Center","","","","","Low",""
"28625 SW Boberg Rd, Wilsonville, OR 97070, USA","Commercial","Wilsonville Public Works","","(503) 682-4092","","https://www.ci.wilsonville.or.us/publicworks","Low",""
"30160 SW Ore Pac Ave, Wilsonville, OR 97070, USA","Commercial","OrePac Building Products - Wilsonville","","(503) 682-5050","","https://www.orepac.com/","Low",""
"27150 SW Kinsman Rd, Wilsonville, OR 97070, USA","Commercial","Aosom","","(877) 644-9366","","https://www.aosom.com/","Low",""
"15110 Boones Ferry Rd #250, Lake Oswego, OR 97035, USA","Commercial","Springcreek Office Park","","(503) 675-6705","","http://www.springcreekofficepark.com/","Low",""
"8101 SW Nyberg St #218, Tualatin, OR 97062, USA","Commercial","Real Property Management Solutions","","(503) 224-3002","","https://www.realpmsolutions.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic","Low",""
"7504 SW Bridgeport Rd, Portland, OR 97224, USA","Commercial","Clark Group Property Management","","(503) 810-3295","","http://clarkgrouppm.com/","Low",""
"550 3rd St, Lake Oswego, OR 97034, USA","Commercial","North Star Property Management","","(503) 636-2232","","https://northstarproperties.com/","Low",""
"27375 SW Parkway Ave, Wilsonville, OR 97070, USA","Commercial","Stratum","","(503) 758-2525","","https://stratumpm.com/","Low",""
"9880 SW Beaverton Hillsdale Hwy #104, Beaverton, OR 97005, USA","Commercial","Real Property Management Assurance","","(971) 270-2600","","https://www.rpm-assurance.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic","Low",""
"7991 SW Mohawk St, Tualatin, OR 97062, USA","Commercial","Cushman & Wakefield - Commercial Real Estate Services","","(503) 279-1700","","","Low",""
"6700 SW 105th Ave #210, Beaverton, OR 97008, USA","Commercial","Residential Property Management, Inc.","","(503) 245-8022","","http://rpmpdx.com/","Low",""
"22566 SW Washington St #211, Sherwood, OR 97140, USA","Commercial","Oregon Real Estate Group LLC | Property Management & Real Estate","","(503) 828-2268","","https://www.oregongroup.org/","Low",""
"18676 Willamette Dr Suite 100, West Linn, OR 97068, USA","Commercial","PropM Inc.","","(888) 780-2938","","https://www.propmhomes.com/","Low",""
